id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
55161476,8006d55f-af4b-461b-8e5d-b55db7aa9a5a,2020-07-30 9:40:15 AM CDT,2020-07-30,2020-07-30 14:40:15 UTC,Central Time (US & Canada),62141,pcarreyes,Pablo Carrillo-Reyes,2020-08-02 15:19:46 UTC,2020-08-03 20:51:05 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/55161476,https://inaturalist-open-data.s3.amazonaws.com/photos/87818666/medium.jpeg,,"",,1,0,false,2,"Tapalpa, Jal., México",20.0160865783,-103.7221145628,,,,,,,,false,gps,gps,Lechuguilla,Agave inaequidens,,Plantae,274130
57521258,86d664d3-9cb3-457b-bd62-b386e92dda52,2020-08-24 4:39:51 PM CDT,2020-08-24,2020-08-24 21:39:51 UTC,Central Time (US & Canada),699302,fredyenamecatl,Fredy,2020-08-25 07:11:06 UTC,2024-08-17 18:29:33 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/57521258,https://inaturalist-open-data.s3.amazonaws.com/photos/91759758/medium.jpeg,,"",,1,0,false,2,"Jalisco, MX",20.1609037002,-103.9572524097,,,,,30508,obscured,,true,gps,gps,Lechuguilla,Agave inaequidens,,Plantae,274130
59839531,c7f42443-18f9-48d9-8714-b0c7ff8a37c2,2020-09-16 1:45:26 PM CDT,2020-09-16,2020-09-16 13:45:26 UTC,UTC,3364006,albertoaynescobedo,Alberto Ayón Escobedo,2020-09-17 01:32:18 UTC,2024-10-05 01:53:58 UTC,research,,https://www.inaturalist.org/observations/59839531,https://static.inaturalist.org/photos/95644484/medium.jpeg,,"",,1,0,false,2,"San Martín Hidalgo, Jal., México",20.3389139722,-104.015398,,,,,,,,false,gps,gps,Lechuguilla,Agave inaequidens,,Plantae,274130
60653065,0e3ba03a-7a31-4dc2-8d5b-f88374964080,2019/08/28 4:31 PM CDT,2019-08-28,2019-08-28 21:31:00 UTC,Guadalajara,2408915,biosmike,,2020-09-24 21:44:54 UTC,2020-09-25 04:24:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/60653065,https://inaturalist-open-data.s3.amazonaws.com/photos/96998407/medium.jpeg,,"",,1,0,false,,"Tapalpa, Jal., México",19.9940891173,-103.8141891932,61,,,,61,,,false,,,Lechuguilla,Agave inaequidens,,Plantae,274130
61630018,2482491c-aad0-4100-ac26-2cbc981e1c06,2020-10-03 1:51:14 PM CDT,2020-10-03,2020-10-03 23:51:14 UTC,Hawaii,2784222,farar,Francisco Arvizu,2020-10-04 01:08:06 UTC,2021-04-30 15:55:46 UTC,research,,https://www.inaturalist.org/observations/61630018,https://static.inaturalist.org/photos/98638540/medium.jpeg,,"",,1,0,false,2,"Mazamitla, Jal., México",19.9209919722,-102.9950079722,,,,,,,,false,gps,gps,Agave inaequidens,Agave inaequidens,,Plantae,274130
62147648,6e553f5c-9b26-426c-9b10-d737a6e65512,2020/09/27 11:49 AM CDT,2020-09-27,2020-09-27 16:49:00 UTC,Guadalajara,428257,zazil,Zazil Dellamary,2020-10-09 22:00:47 UTC,2020-10-10 16:45:01 UTC,research,CC-BY,https://www.inaturalist.org/observations/62147648,https://inaturalist-open-data.s3.amazonaws.com/photos/99532233/medium.jpeg,,"",,1,0,false,,Loma del Bueyero,20.3564128774,-103.02656903,244,,,,244,,,false,,,Lechuguilla,Agave inaequidens,,Plantae,274130
65345482,cffd9b6d-4a2f-47ad-9538-1e34f787e9f8,2020/11/15 12:37 PM HST,2020-11-15,2020-11-15 22:37:00 UTC,Hawaii,363322,alfredo914,Alfredo Diaz Torres,2020-11-21 18:30:09 UTC,2022-12-08 17:18:08 UTC,research,CC-BY,https://www.inaturalist.org/observations/65345482,https://inaturalist-open-data.s3.amazonaws.com/photos/105155741/medium.jpeg,,"",,1,0,false,,"Tuxpan, Jal., México",19.6002512482,-103.5669147805,7075,,,,7075,,open,false,,,Lechuguilla,Agave inaequidens barrancensis,,Plantae,316369
66366009,cded85c4-eb15-4538-b7bb-127bb61c8c6e,2020-05-03 2:37:47 PM CDT,2020-05-03,2020-05-03 14:37:47 UTC,UTC,3889664,tristan_franco,Tristán Franco,2020-12-10 06:54:37 UTC,2023-07-08 01:37:30 UTC,research,CC-BY,https://www.inaturalist.org/observations/66366009,https://inaturalist-open-data.s3.amazonaws.com/photos/106971804/medium.jpeg,,"",,1,0,false,2,"Amacueca, Jal., México",20.0282524557,-103.6433528736,719,,,,719,,,false,gps,gps,Lechuguilla,Agave inaequidens,,Plantae,274130
67890788,d79123c4-69ec-47b7-82d6-15295aec6124,2021-01-10 9:36:09 AM CST,2021-01-10,2021-01-10 19:36:09 UTC,Hawaii,2784222,farar,Francisco Arvizu,2021-01-11 02:52:34 UTC,2021-04-30 15:55:46 UTC,research,,https://www.inaturalist.org/observations/67890788,https://static.inaturalist.org/photos/109804474/medium.jpeg,,"",,1,0,false,2,"San Sebastián del Oeste, Jal., México",20.7707329722,-104.856155,,,,,,,,false,gps,gps,Lechuguilla,Agave inaequidens,,Plantae,274130
67936657,3e9fd8d3-8c89-46c3-a7fc-7300ba295a28,2021-01-09 10:41:08 PM CST,2021-01-09,2021-01-10 08:41:08 UTC,Hawaii,2784222,farar,Francisco Arvizu,2021-01-12 02:10:28 UTC,2021-04-30 15:55:46 UTC,research,,https://www.inaturalist.org/observations/67936657,https://static.inaturalist.org/photos/109891449/medium.jpeg,,"","La selección de la especie es con base en la recomendación de la aplicación, agradezcocomo siempre enormemente sus identificaciones",1,0,false,2,"San Sebastián del Oeste, Jal., México",20.7295871686,-104.8256367445,55,,,,55,,,false,gps,gps,Lechuguilla,Agave inaequidens,,Plantae,274130
