id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
19003093,041d4131-2340-4baf-831f-b310ecfc218d,Mon Nov 19 2018 15:06:22 GMT-0600 (CST),2018-11-19,2018-11-19 21:06:22 UTC,Central Time (US & Canada),408674,alexordorica,,2018-12-13 22:43:24 UTC,2019-11-24 11:49:45 UTC,research,,https://www.inaturalist.org/observations/19003093,https://static.inaturalist.org/photos/29140057/medium.jpg,,"",,3,1,false,3,"Carretera San Clemente-Entronque Las Cruces, Cuautla, JAL, MX",20.255955,-104.4955883333,16,,,,16,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
19196601,e2298fce-2551-4293-9b18-607611b5db60,2017/08/08 8:22 AM CDT,2017-08-08,2017-08-08 13:22:00 UTC,Central Time (US & Canada),24338,hormiguel,Miguel Vásquez Bolaños,2018-12-24 17:40:38 UTC,2019-01-02 23:46:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/19196601,https://inaturalist-open-data.s3.amazonaws.com/photos/29485348/medium.jpg,,"",,2,0,false,,"San Sebastián del Oeste, Jal., México",20.7568776425,-104.9343137102,8,,,,8,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
19665215,8d274957-a64b-49d7-b9a9-0c7e74ec10f8,Sun Jan 13 2019 16:06:20 GMT-0600 (CST),2019-01-13,2019-01-13 22:06:20 UTC,Central Time (US & Canada),1129898,jos125,José Orozco Dueñas,2019-01-15 23:28:38 UTC,2019-03-01 04:31:44 UTC,research,,https://www.inaturalist.org/observations/19665215,https://static.inaturalist.org/photos/30287108/medium.jpg,,"",,1,0,false,3,"Mascota, Mascota, JAL, MX",20.679697884,-104.6456002268,16995,,,,16995,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
19977871,a4ffede4-d0e9-42c6-a547-6a316cbf54e0,Sun Jan 20 2019 13:01:49 GMT-0800 (PST),2019-01-20,2019-01-20 21:01:49 UTC,Pacific Time (US & Canada),939434,paul_contreras,,2019-01-31 00:28:09 UTC,2019-04-14 05:24:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/19977871,https://inaturalist-open-data.s3.amazonaws.com/photos/30831000/medium.jpg,,"",,2,0,false,3,"Carretera a Talpa de Allende, Mascota, JAL, MX",20.4205888441,-104.8004654803,22,,,,22,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
20320370,db31f289-bab9-4f19-835e-64ad5bf3eef5,2016/07/12 12:31 PM CDT,2016-07-12,2016-07-12 17:31:00 UTC,Central Time (US & Canada),62141,pcarreyes,Pablo Carrillo-Reyes,2019-02-13 14:23:54 UTC,2021-10-18 00:53:35 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/20320370,https://inaturalist-open-data.s3.amazonaws.com/photos/31376892/medium.jpeg,,"",,2,0,false,,"Bolaños, Jal., México",21.8861305556,-103.8359444444,,,,,,,open,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
22960078,61382d09-2bbf-45ff-bffa-417550e1522a,2016/04/09 5:18 PM CDT,2016-04-09,2016-04-09 22:18:00 UTC,Central Time (US & Canada),78552,carlospalomera,Carlos Palomera,2019-04-23 20:22:22 UTC,2024-07-05 15:55:34 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/22960078,https://inaturalist-open-data.s3.amazonaws.com/photos/35589346/medium.jpeg,,"","",1,0,false,,"Ayutla, Jal., México",20.1016796553,-104.6001649495,31,,,,31,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
28452604,452489c4-7677-4edd-84e6-2e7e9251c190,2019-07-08,2019-07-08,,UTC,1911510,mayraob,,2019-07-08 19:28:20 UTC,2019-07-10 15:47:14 UTC,research,,https://www.inaturalist.org/observations/28452604,https://inaturalist-open-data.s3.amazonaws.com/photos/44353797/medium.jpeg,,"",,2,0,false,333,Barranca de Otates,20.2703449225,-103.6596662149,,,,,,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
31274674,8ad0f145-4262-43db-be80-105a3eb8c709,2019/05/03 9:55 AM HST,2019-05-03,2019-05-03 19:55:00 UTC,Hawaii,315237,august0,Augusto Castañeda-Guzmán,2019-08-22 05:28:15 UTC,2019-08-25 00:29:10 UTC,research,,https://www.inaturalist.org/observations/31274674,https://static.inaturalist.org/photos/48930958/medium.jpeg,,"",,2,0,false,,"Talpa de Allende, Jal., México",20.2124477472,-104.7594544054,31,,,,31,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
32449905,1923b4fe-0ac3-40dd-a125-7bf6b190f1a0,2019/09/08 2:17 PM CDT,2019-09-08,2019-09-08 19:17:00 UTC,Guadalajara,46643,josemareyes,Josema,2019-09-10 02:52:07 UTC,2024-08-14 18:47:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/32449905,https://inaturalist-open-data.s3.amazonaws.com/photos/50896896/medium.jpeg,,"",,2,0,false,,"Bolaños, Jal., México",21.8895681305,-103.8616938768,323,,,,323,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
33468973,477de4a4-1982-4ec5-a5b6-48f9bad8ea18,Fri Sep 20 2019 11:29:07 GMT-0700 (PDT),2019-09-20,2019-09-20 18:29:07 UTC,Pacific Time (US & Canada),864530,edgarpadilla,Edgar Padilla,2019-09-27 06:01:44 UTC,2019-09-27 22:57:49 UTC,research,,https://www.inaturalist.org/observations/33468973,https://static.inaturalist.org/photos/52570006/medium.jpg,,"",,1,0,false,3,"Mascota, JAL, MX",20.6293416667,-104.7304383333,6,,,,6,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
