id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
74704543,e2bf2c0e-a6b2-48be-9dbc-080609dbf6b6,2021/04/18 10:51 AM CDT,2021-04-18,2021-04-18 15:51:00 UTC,Guadalajara,5784,julio,Julio Alejandro Álvarez Ruiz,2021-04-21 03:15:26 UTC,2023-02-19 02:31:55 UTC,research,CC-BY,https://www.inaturalist.org/observations/74704543,https://static.inaturalist.org/photos/122126679/medium.jpeg,,"",,3,1,false,,"Ahualulco de Mercado, Jal., México",20.7258941902,-104.0147004944,381,,,,381,,,false,,,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
76816174,3a841c80-36cc-4e4b-9335-cac943f684bd,2021-05-02 16:39:32,2021-05-02,2021-05-02 21:39:32 UTC,Mexico City,4116565,andreverd,Andrea Macias,2021-05-03 03:10:14 UTC,2021-05-09 18:13:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/76816174,https://inaturalist-open-data.s3.amazonaws.com/photos/125635906/medium.jpeg,,"",,1,0,false,2,"Los Tamarindos, 48282 Ixtapa, Jal., México",20.717507312,-105.2117243037,19,,,,19,,,false,gps,gps,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
76919574,0cdc2e69-ee54-456c-8c84-007023066fff,2021-05-03 07:44:46,2021-05-03,2021-05-03 12:44:46 UTC,Mexico City,3834810,angelgonzalez25,"",2021-05-03 12:47:59 UTC,2021-05-09 18:02:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/76919574,https://inaturalist-open-data.s3.amazonaws.com/photos/125797682/medium.jpeg,,"",,1,0,false,2,"Ixtapa, Jal., México",20.7049426944,-105.2200851389,,,,,,,,false,gps,gps,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
77153224,859546c1-2add-4524-93af-de8e20283792,2021-05-03 18:45:38,2021-05-03,2021-05-03 23:45:38 UTC,Mexico City,1132671,betybernal,"",2021-05-04 01:14:35 UTC,2021-05-06 08:39:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/77153224,https://inaturalist-open-data.s3.amazonaws.com/photos/126166825/medium.jpeg,,"",,1,0,false,2,Los Ramblases,20.6270110707,-105.2121675387,957,,,,957,,,false,gps,gps,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
77197197,761e7405-b8c6-49ea-9dc5-7b0e70d990b9,2021-05-03 19:58:42,2021-05-03,2021-05-04 00:58:42 UTC,Mexico City,4304526,chabe_torres,Chabe,2021-05-04 03:55:09 UTC,2021-05-06 08:29:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/77197197,https://inaturalist-open-data.s3.amazonaws.com/photos/126238829/medium.jpeg,,"",,1,0,false,2,"Fovissste 96, 48328 Puerto Vallarta, Jal., Mexico",20.6403672757,-105.2143589035,9,,,,9,,,false,gps,gps,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
79768514,3341e69e-de91-46cf-a066-9d0959d6c0c9,2021/05/20 9:45 AM CDT,2021-05-20,2021-05-20 14:45:00 UTC,Central Time (US & Canada),62141,pcarreyes,Pablo Carrillo-Reyes,2021-05-22 12:57:51 UTC,2021-05-24 15:23:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/79768514,https://inaturalist-open-data.s3.amazonaws.com/photos/130678227/medium.jpg,,"",,1,0,false,,"Mixtlán, Jal., México",20.5199892563,-104.4833875943,15,,,,15,,,false,,,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
84233635,363b5d20-c131-4be8-9a09-3725926f00eb,Wed Jun 23 2021 16:41:48 GMT-0500 (CDT),2021-06-23,2021-06-23 16:41:48 UTC,UTC,2553448,nathaliarechiga03,,2021-06-23 21:56:31 UTC,2023-03-30 21:57:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/84233635,https://inaturalist-open-data.s3.amazonaws.com/photos/138423360/medium.jpg,,"","",1,0,false,3,"Mascota, JAL, MX",20.5501783333,-104.810075,5,,,,5,,open,false,,,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
88163698,f6f440e0-6815-4293-82de-6f387939f12d,2021/07/20 7:49 PM HST,2021-07-20,2021-07-21 05:49:00 UTC,Hawaii,8233,carlos2,Carlos Galindo-Leal,2021-07-22 19:19:55 UTC,2021-09-15 23:53:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/88163698,https://inaturalist-open-data.s3.amazonaws.com/photos/145422814/medium.jpeg,,"","",1,0,false,,"La Huerta, Jal., México",19.2478705485,-104.8005198068,1314,,,,1314,,,false,,,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
112548780,4038b66f-1d2c-4f0c-9d47-f3b4e92128ae,2022-04-23 13:03:40,2022-04-23,2022-04-23 18:03:40 UTC,Mexico City,5311156,yenifer11,Yenifer Hernández,2022-04-23 18:04:45 UTC,2024-10-10 03:16:29 UTC,research,,https://www.inaturalist.org/observations/112548780,https://static.inaturalist.org/photos/190104546/medium.jpeg,,"",,0,0,false,2,"Volcanes de Vallarta, Puerto Vallarta, Jal., México",20.6752861111,-105.1830861111,,,,,,,open,false,gps,gps,Caribbean Agave,Agave angustifolia,Caribbean Agave,Plantae,50821
112553832,06542281-4054-4a85-aabe-ef26734dde5b,2022-04-23 13:38:46-05:00,2022-04-23,2022-04-23 18:38:46 UTC,Mexico City,729420,hami1981,"",2022-04-23 18:39:08 UTC,2022-06-01 14:30:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/112553832,https://inaturalist-open-data.s3.amazonaws.com/photos/190128521/medium.jpg,,"","",1,0,false,3,"Etzatlán, JAL, MX",20.7528214515,-104.0830400087,8,,,,8,,open,false,,,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
137966199,dbe980bd-6c31-48ee-ad1b-1ea87245af64,2022-10-06 12:43:09,2022-10-06,2022-10-06 17:43:09 UTC,Mexico City,6160258,angel_ulises,ANGEL ULISES GUTIERREZ GONZALEZ,2022-10-08 12:28:41 UTC,2022-10-09 03:34:41 UTC,research,,https://www.inaturalist.org/observations/137966199,https://static.inaturalist.org/photos/235725603/medium.jpeg,,"",,1,0,false,2,"Laboratorios de Medicina, Centro Universitario de los Altos, Tepatitlán de Morelos, Jal., México",20.848526,-102.7829131944,,,,,,,open,false,gps,gps,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
141841207,719aa7ea-8d63-405d-9520-d2c624ce14e5,2022/11/11 10:47 AM,2022-11-11,2022-11-11 16:47:00 UTC,Mexico City,376395,emmguevara,Emmanuel Guevara Lazcano,2022-11-13 01:08:34 UTC,2023-10-11 14:38:24 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/141841207,https://inaturalist-open-data.s3.amazonaws.com/photos/243080402/medium.jpeg,,"","",1,0,false,,"Cuquío, Jal., México",20.9941401661,-102.8935793786,8,,,,8,,open,false,,,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
158667304,7c32fe4d-8900-4038-b502-3d430c3efdfc,2023-05-01 09:02:06,2023-05-01,2023-05-01 15:02:06 UTC,Mexico City,6787588,angelarp,"",2023-05-01 15:02:52 UTC,2023-05-06 04:54:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/158667304,https://inaturalist-open-data.s3.amazonaws.com/photos/274181343/medium.jpeg,,"",,1,0,false,2,"Tlajomulco de Zúñiga, MX-JA, MX",20.5192133893,-103.3709601313,5,,,,5,,open,false,,,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
187986240,66cf45e8-617a-4fef-8680-8c7d2b6aa721,2023/10/15 9:48 AM,2023-10-15,2023-10-15 15:48:00 UTC,Mexico City,22707,coatzin_tutor,M. Domínguez-Laso,2023-10-18 04:31:42 UTC,2023-10-18 17:26:20 UTC,research,,https://www.inaturalist.org/observations/187986240,https://static.inaturalist.org/photos/328879616/medium.jpeg,,"",Ixtero,1,0,false,,"Tuxpan, Jal., México",19.4889666667,-103.400995,,,,,,,open,false,,,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
219065892,b5f4425a-a801-4e69-8f06-4d0bc8a6523d,2024-05-29 01:54:34-06:00,2024-05-29,2024-05-29 07:54:34 UTC,Mexico City,7731639,josue_meda,,2024-05-29 07:54:44 UTC,2024-08-25 17:25:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/219065892,https://inaturalist-open-data.s3.amazonaws.com/photos/387714658/medium.jpg,,"","",1,0,false,3,"5 de Mayo, Puerto Vallarta, Jal., MX",20.650040796,-105.2144652711,3294,,,,3294,,open,false,,,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
